article_index,title,image_index,filename,image_url,detail_url,bytes,sha256
1,南部双峰木质面具图组（二）,1,001_南部双峰木质面具图组（二）_01.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102841883.jpeg,https://www.zgnuoxi.com/mianju/view_1821.html,184491,987a36e033e86462ede2b00331cbffea2c9eda8f7689f3026a374d65bfc6a39c
1,南部双峰木质面具图组（二）,2,001_南部双峰木质面具图组（二）_02.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102912739.jpeg,https://www.zgnuoxi.com/mianju/view_1821.html,196881,096afcd6fab3df7f5d0b16136c7f50aba07568af91a3d92903ad15c3a512efd0
2,南部双峰纸质、布质傩面具图组（一）,1,002_南部双峰纸质、布质傩面具图组（一）_01.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102526283.jpeg,https://www.zgnuoxi.com/mianju/view_1820.html,124466,73dd79dc20c205ab4d08e5b63faee28a731c4c8d49d3210820e7bd20c1e2b740
2,南部双峰纸质、布质傩面具图组（一）,2,002_南部双峰纸质、布质傩面具图组（一）_02.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102526432.jpeg,https://www.zgnuoxi.com/mianju/view_1820.html,112230,294347cc14fb0243b93f9974e237faf0f32d26d79cefb426bf5b3deefb0cab1a
2,南部双峰纸质、布质傩面具图组（一）,3,002_南部双峰纸质、布质傩面具图组（一）_03.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102526109.jpeg,https://www.zgnuoxi.com/mianju/view_1820.html,226546,b6597a4093b524b7f530ba3c38026e13952b3894b434af87c510bcf0c90b2f40
2,南部双峰纸质、布质傩面具图组（一）,4,002_南部双峰纸质、布质傩面具图组（一）_04.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102527681.jpeg,https://www.zgnuoxi.com/mianju/view_1820.html,218496,373254edd97051f3f99a77650b2c3bfeb40c0a77212e59782ad16f8173972ac8
2,南部双峰纸质、布质傩面具图组（一）,5,002_南部双峰纸质、布质傩面具图组（一）_05.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102527142.jpeg,https://www.zgnuoxi.com/mianju/view_1820.html,136345,70284ff920d7d84b145c8a73ffe768ba70fe5a14988e82ba7db0877fea94e7f8
2,南部双峰纸质、布质傩面具图组（一）,6,002_南部双峰纸质、布质傩面具图组（一）_06.jpeg,https://www.zgnuoxi.com/uploadfile/2026/0823/20260823102527885.jpeg,https://www.zgnuoxi.com/mianju/view_1820.html,150244,7eeb99ae5fcd33f4383dd970a3086f03a8247d0477f25a87c945ba966ecbc3ad
3,消灾和尚 德江傩堂戏《和尚检斋》,1,003_消灾和尚 德江傩堂戏《和尚检斋》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819075858408.png,https://www.zgnuoxi.com/mianju/view_1802.html,131912,70b3b35a5dd50656af52e14eb16553d2cc4cc7a285e02e03887dbdb678bcc066
4,甘生先生 德江傩堂戏《甘生赶考》,1,004_甘生先生 德江傩堂戏《甘生赶考》_01.png,https://www.zgnuoxi.com/uploadfile/2026/0819/20260819075805751.png,https://www.zgnuoxi.com/mianju/view_1801.html,92074,54daff10f87150f961d975d0412d09eaba04e737b329b949f74ff0ef184ee3c8
